year,county_count,top_1pct_share,top_25_counties_share,top_100_counties_share,top_county_share
2001,3110,0.3171097236882492,0.2812385643489361,0.5413666575239713,0.03695333515947345
2002,3111,0.3132192373054573,0.2771946441406867,0.5372204975451952,0.03709544437582868
2003,3111,0.3104550035756515,0.27445376593353493,0.5339255786621071,0.03713658898025787
2004,3111,0.3099511403395205,0.27376630074720304,0.532700540507996,0.03660878781497784
2005,3111,0.3101899788632449,0.27454044327551497,0.531808406630067,0.03604811881728945
2006,3111,0.3115942607411738,0.2759704526754794,0.533001964050022,0.03626243802900184
2007,3111,0.3122033157994263,0.27632440440416295,0.5332782844760011,0.0360564016630084
2008,3112,0.30859242601961057,0.27166550213700663,0.5290079817280069,0.036725537280658506
2009,3113,0.3080194025657008,0.27173559437120387,0.5299225441091479,0.03608971119076781
2010,3113,0.3084497134654664,0.2724096551941477,0.5279687378611299,0.03596022330782037
2011,3113,0.30990652258097856,0.27414800011912244,0.5276493398272591,0.03599768836939999
2012,3113,0.31358086029214555,0.2779299555090933,0.5319379244068035,0.03573763788963477
2013,3113,0.3143661716734218,0.27899350289484903,0.5322766248947667,0.035798376281969954
2014,3113,0.3162772793657258,0.2807251806386568,0.534418506630901,0.03592919442077733
2015,3113,0.3219239351969258,0.2855851160894181,0.5421520644730629,0.03669716035752465
2016,3113,0.325603757572422,0.2889544017548622,0.5464501179578197,0.03677911404103974
2017,3113,0.32833352952583295,0.29221826842045556,0.5487140127168851,0.03695180814121851
2018,3113,0.3304382828681014,0.2943589251474304,0.549859630242919,0.03678314016281806
2019,3113,0.3328572390140487,0.2969303213188451,0.5522190091019435,0.03717300644756131
2020,3114,0.3340853622666608,0.298345136744616,0.5535554678852846,0.0364737838386544
2021,3114,0.3340243516765897,0.2989158685427369,0.5502844395586934,0.0361106634549414
2022,3114,0.33037146582475696,0.2949560606600992,0.5457436686442032,0.03509939590512343
2023,3114,0.3311224659195653,0.29488502447289233,0.5468610567173651,0.034572290116413475
2024,3115,0.33325532776315464,0.2969432308603109,0.5468935207861859,0.03454871507970314
